Sr.no,Current Station,Activity,Checkbox,text_req,Product,New Station No.
1,Comissioning,Visual check of VI housing for chip off / major cracks,Y,,3AH0,NA
2,Comissioning,Coil  Volt = 240 /125/ 110/ 30/ 24 as per OIS,Y,,3AH0,NA
3,Comissioning,Motor  Volt = 240/ 125/ 110/ 30/ 24 as per OIS,Y,,3AH0,NA
4,Comissioning,"Clean surface before sticker fixing Y1,Y3,Y9,K1,M1,S1,X0,V1",Y,,3AH0,NA
5,Comissioning," Sticker in proper Location & position  Y1,Y3,Y9,K1,M1,S1,X0,V1",Y,,3AH0,NA
6,Comissioning,Check Counter for lever & spring in packet,Y,,3AH0,NA
7,Comissioning, Check for required play & smooth rotation of bearing in shaft ,Y,,3AH0,NA
8,Pole stn,Orientation of tube label ( Left edge of sticker & right edge of current link must be in line),Y,,3AH0,Pole stn
9,Pole stn,Insert fixture below steel sleeve before torque application to grub screw,Y,,3AH0,Pole stn
10,Pole stn,40N-m torque to be applied on nut for current link to VI,Y,,3AH0,Pole stn
11,Pole stn,20 N-m torque to be applied for contact arm to housing & MS nut plate,Y,,3AH0,Pole stn
12,Pole stn,20 N-m torque to be applied for current link to contach arm,Y,,3AH0,Pole stn
13,Pole stn,Orientation of current link to be straight,Y,,3AH0,Pole stn
14,Pole stn,40N-m torque to be applied for VI to housing,Y,,3AH0,Pole stn
15,Pole stn,20N-m torque to be applied for insulating stud to grub screw,Y,,3AH0,Pole stn
16,Pole stn,Tube Height: M10 pin passing through holes of fixture & J lever from both sides,Y,,3AH0,Pole stn
17,Pole stn,20N-m torque to be applied forJ lever to insulating stud,Y,,3AH0,Pole stn
18,Mounting,PCD of contact arms to be maintained with Fixture fixed to top & bottom contact arm,Y,,3AH0,A2
19,Mounting,40N-m torque to be applied for VI hsg with casing,Y,,3AH0,A2
20,Mounting,Check for tightness of mounting bolts & mark it ,Y,,3AH0,A2
21,Gearbox,Coil Dowel pin should not touch the rod connected to black knob,Y,,3AH0,A2
22,Gearbox,Gearbox operation should be noise free during motor rotation,Y,,3AH0,A2
23,D 1,Tight Sw on spring bracket after gearbox is fixed,Y,,3AH0,A3
24,D 1,Locktite to be applied on M4 screw for coil fixing,Y,,3AH0,A3
25,D 1,Locktite to be applied on M6 screw for motor fixing,Y,,3AH0,A3
26,D 2,Shaft washer at either ends should be neither too loose nor very tight,Y,,3AH0,A3
